,customer_unique_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_risk_score,churn_risk
21647,4d98a16aebfef3772cc4d547bcae8761,164,2,336.0,2,1,3,6,Medium
21695,4dcabe94c61f202327839a734955b0cf,54,3,312.7,3,3,3,9,Low
21752,4df9aee56fa602c72756abb22ee60b17,140,2,237.8,2,1,2,5,High
21789,4e1cce07cd5937c69dacac3c8b13d965,156,2,1171.6,2,1,3,6,Medium
21803,4e23e1826902ec9f208e8cc61329b494,48,2,157.9,3,1,2,6,Medium
21816,4e2d666f4bbc94a8ded712172a433d65,13,3,120.88999999999999,3,3,1,7,Medium
21830,4e39429218dac10ad4e57dafee3d92d4,156,2,159.89,2,1,2,5,High
21832,4e3b6c25502ef69e5c5e54616bf67ed7,417,2,78.0,1,1,1,3,High
21850,4e4b787733d41ea0cb9b69a192bb285e,149,2,379.8,2,1,3,6,Medium
21878,4e65032f1f574189fb793bac5a867bbc,288,4,361.37,1,3,3,7,Medium
21879,4e6588068c000d6f539cf24c66a96816,70,2,929.9,3,1,3,7,Medium
21903,4e78d9253ba5cc1d990eb09ea45a3a2c,403,2,49.7,1,1,1,3,High
21973,4eb6fcfd481ef3c2ab3afba135ef4bcc,173,2,219.0,2,1,2,5,High
22008,4eda116add853323e439c104b7d0824c,158,2,108.9,2,1,1,4,High
22043,4ef6c02126b21225e011b242f9f79c6f,138,2,415.0,2,1,3,6,Medium
22059,4f011f45db425dcd3be79d4c11e9ad05,323,2,184.99,1,1,2,4,High
22091,4f2029f4e7aea8455f5c1cb9de0b7ccd,221,2,448.9,1,1,3,5,High
22142,4f4a4c713a7892d9db23f694fc647d13,89,2,178.8,3,1,2,6,Medium
22144,4f4d2fe2987efa0b9e4e61a466e8ed8b,87,3,168.7,3,3,2,8,Low
22174,4f6d635ff2fd4e30ff5369a7b943eb22,75,2,109.63,3,1,1,5,High
22205,4f88e6285f805c9a823ba23291a65ca3,156,2,104.9,2,1,1,4,High
22211,4f8e0cd35c770318d9e8874c2956345a,35,2,449.70000000000005,3,1,3,7,Medium
22215,4f928a6270233d6c7c4e73919fa12295,84,2,138.0,3,1,2,6,Medium
22272,4fcf7b9d6a54ded837b9a0ff601bf7ef,73,2,322.0,3,1,3,7,Medium
22298,4fe67915d44791a5deab2957c2641048,422,2,20.79,1,1,1,3,High
22321,4ffd7cf05f22d7a320750a2f9e73f665,180,2,246.0,2,1,2,5,High
22402,503279f30dccc77b5d832f20bd485393,49,2,198.9,3,1,2,6,Medium
22408,5036f4227f2e546879f581d8fd3e6ec6,275,2,135.88,1,1,2,4,High
22484,507dc9becd4fc65635d90682dfa9d3a3,157,2,166.8,2,1,2,5,High
22504,508cae50c5c1e72079d266a513bca9ae,112,2,229.5,2,1,2,5,High
22506,508f416faa150cd3249d045d81c93399,112,2,266.0,2,1,3,6,Medium
22508,50915df398391da01c01bd5cf272f61b,3,2,37.9,3,1,1,5,High
22533,50a662e7d7e7e2a94112a4f15a37464e,307,2,399.9,1,1,3,5,High
22542,50ad9fb3ba7f8cf336529fe94a182996,211,2,319.70000000000005,1,1,3,5,High
22576,50cd97d731f3f5e3f321673c2671a23d,132,3,369.8,2,3,3,8,Low
22598,50e1b12ee1e2eab6157d9c0b035136af,80,2,36.9,3,1,1,5,High
22634,511152350c802fe363fd2417b1a09357,96,2,64.9,2,1,1,4,High
22661,5126071e8e67f61789f6ce9f3af56143,131,2,423.0,2,1,3,6,Medium
22683,51378a8908cdc12c6545fdf842383c97,409,2,878.9,1,1,3,5,High
22707,514f8ca0f04813ed414874f8f422e6c3,62,2,115.80000000000001,3,1,1,5,High
22757,518199e5f36305bffce18e38aa2642aa,206,2,119.8,2,1,1,4,High
22761,51838d41add414a0b1b989b7d251d9ee,330,3,274.6,1,3,3,7,Medium
22826,51c23d1b01aebce5a1e32e3d9b312aa3,83,2,91.80000000000001,3,1,1,5,High
22827,51c2f039f08424330a6bbba4c9949d98,309,2,279.89,1,1,3,5,High
22843,51d11e5abc725531b3a2fd56456885fa,75,2,389.0,3,1,3,7,Medium
22844,51d121ddc025c1b70f8f62a1b727aecf,243,2,184.8,1,1,2,4,High
22854,51d91326ffc0688da14a001de38c264b,247,3,624.99,1,3,3,7,Medium
22856,51dc56123336c573f2977f5da81b17b9,214,2,699.8,1,1,3,5,High
22954,523730e4b2ef7654c243699b81763112,358,2,184.8,1,1,2,4,High
22974,525236008daa62b6022f35142ef864d3,86,2,209.89000000000001,3,1,2,6,Medium
22983,52597838f6c178b19b961b068d048c71,243,2,364.0,1,1,3,5,High
22988,526126c9f6a2a58d226b574d4d6c2278,431,2,398.69000000000005,1,1,3,5,High
23010,5275b2f97b9c995d3d05a58610c0bb67,148,2,199.4,2,1,2,5,High
23012,5277f2c18bae9ff7f93aa8118ace6e03,158,2,189.95,2,1,2,5,High
23018,527c6fbbe85cdf78ff1645e0a71e266f,97,2,362.0,2,1,3,6,Medium
23030,528553785a32652e5b1f5dc33899f754,140,2,220.0,2,1,2,5,High
23133,52e05f52b2ccd1945aafaae6ceff7ba1,157,2,217.89000000000001,2,1,2,5,High
23183,53100f780630b0755dcdec40f673abfb,52,2,88.4,3,1,1,5,High
23365,53b30ca78efb2b7efcd3f9e461587eb2,234,2,247.0,1,1,2,4,High
23380,53beace9d0aa08b64d759d5f5a66550c,146,2,269.08000000000004,2,1,3,6,Medium
23391,53c84ac43bbfafb7a6b5d9076ab423c7,250,2,110.74,1,1,1,3,High
23430,53f34954c078f5034197993c0e109b95,364,2,95.78999999999999,1,1,1,3,High
23467,5416f8ad5bc33953624084ebc8738307,157,2,358.9,2,1,3,6,Medium
23523,544bd839b4e7f92a077c7bf2410f8b02,252,2,142.89,1,1,2,4,High
23550,5461338ea772177374bcf3f23665178f,189,2,229.59,2,1,2,5,High
23572,54732c804725f94304b9f2d1107a3d6e,44,2,381.99,3,1,3,7,Medium
23581,547d0504ca415eb4864fa3030f73d3f3,99,2,45.89,2,1,1,4,High
23620,54a22a0d776f341e79356ad4a761aa81,59,2,191.99,3,1,2,6,Medium
23646,54b716ecf36f372ca6a585a68025e8a1,390,2,235.70000000000002,1,1,2,4,High
23651,54bf1780705493f3224d73bd48e53186,77,2,102.99,3,1,1,5,High
23657,54c7b4f48fb9e911bf328bf9884ca61d,272,2,99.98,1,1,1,3,High
23698,54ed3f082c9e7725a0e26e9e682fc825,107,2,354.0,2,1,3,6,Medium
23782,552fc05a13d28356a38e8b13f64cbe4f,182,2,144.8,2,1,2,5,High
23859,557b158701bedbb76b856eb5f3af51b1,19,2,637.54,3,1,3,7,Medium
23988,55efe0d41e47d41465ea4fb5f8badee0,2,2,52.7,3,1,1,5,High
24022,5616f75d22507069b5383854a1d8c414,63,2,399.8,3,1,3,7,Medium
24080,565448508b44312e8489ca1bc1f5d09e,367,3,255.0,1,3,3,7,Medium
24173,56b088f218c6c02cd6e86bb9814271cb,243,2,99.88000000000001,1,1,1,3,High
24196,56c8638e7c058b98aae6d74d2dd6ea23,11,5,633.97,3,3,3,9,Low
24227,56e3a158ef88285f2c15a83db0b13d93,2,2,246.9,3,1,2,6,Medium
24232,56e80e4b4a777631c5399e3fd0d6ee85,20,2,152.0,3,1,2,6,Medium
24252,56f77ee91e06fb36402afa524deee676,88,2,114.39,3,1,1,5,High
24262,57017bffe1b59c7da66267b6d3fcd44d,201,2,163.8,2,1,2,5,High
24274,570eb70ff97166b85ea96be3bfb65fef,172,2,132.97,2,1,2,5,High
24316,5735fac0e3e12fee0b0545828a977acd,304,2,287.57,1,1,3,5,High
24348,574e36a816bf7a295404e686062fc0de,4,2,199.6,3,1,2,6,Medium
24416,578035514ad8238fa724f24b4aabc1df,282,2,125.0,1,1,1,3,High
24450,57a00f215e83a19190f6a5dded389806,453,2,118.99,1,1,1,3,High
24481,57b5d9f9fa4f1ff41befbfbf0fcbc3ca,185,2,198.99,2,1,2,5,High
24501,57c6a5ac88fde55944675cc79c4d5db7,22,2,97.99,3,1,1,5,High
24553,580561d937f063a0c4ffe1e4832df2f5,118,2,34.2,2,1,1,4,High
24558,58075e17e770fc08571c3e0f452f6a11,299,2,177.24,1,1,2,4,High
24579,582183483d33018384b309d31c45f353,372,2,185.32000000000002,1,1,2,4,High
24581,582413ee5c9cf48218666c6fd967a221,140,2,121.0,2,1,1,4,High
24626,58498d9dec038f925f6406ebdfdc36bb,165,2,385.46999999999997,2,1,3,6,Medium
24650,585ba6a115792c0b0483d65e5ab1f4b6,143,2,70.99,2,1,1,4,High
24698,58812bfc80ed972fa2e7f3614c0cd22e,315,2,79.98,1,1,1,3,High
24699,5882d9af214f8e2acb3e74b94a109c62,158,2,81.99000000000001,2,1,1,4,High
24714,589211c7448e6c3b58b0ba98ce089ee7,123,2,85.98,2,1,1,4,High
24748,58aa424ba24df5dc745e1a3941abc5a3,472,2,69.9,1,1,1,3,High
24777,58c1b085b54c03a1f1ab5f13d64c2b1c,225,2,2999.98,1,1,3,5,High
24827,58f5a0b391493cf37a8c32956f14d6d1,68,2,340.9,3,1,3,7,Medium
24852,5908f8630bbd5a8d5984b25f85588168,244,2,260.0,1,1,3,5,High
24894,5925dfa8cd87ab4d852383f7039c8bc2,32,2,154.9,3,1,2,6,Medium
24896,59268ee5dc0cd98a36ea808010826cc8,132,2,157.99,2,1,2,5,High
24922,593cb774409e5239a1946d1c88e0813d,299,3,159.8,1,3,2,6,Medium
24962,595ee036d3a69e80934a9b3618834085,39,2,274.5,3,1,3,7,Medium
24972,596f46e4d4b172098ad46d4d7880bcc2,31,2,98.0,3,1,1,5,High
25012,598ef1f13aba15f2b88387184f6c25ec,37,2,178.7,3,1,2,6,Medium
25076,59bba92de9b8f6be0808e4d9d64b4b43,310,2,179.89,1,1,2,4,High
25105,59d66d72939bc9497e19d89c61a96d5f,263,2,3459.0,1,1,3,5,High
25113,59d8d1ea35c02a6a070ee29944b0ea86,16,2,98.0,3,1,1,5,High
25194,5a21363c92f912e70cb482c96bc03af3,323,2,215.25,1,1,2,4,High
25203,5a2e847dd085d36e3ba8916b75e794ed,358,2,198.0,1,1,2,4,High
25205,5a30802342302d5bcef2bade8d40d847,138,2,354.79999999999995,2,1,3,6,Medium
25233,5a494c648fde2d1ec4eb614274ea7159,53,2,1065.0,3,1,3,7,Medium
25263,5a6b37816cefa8497b74b1ef78dbb202,82,2,119.8,3,1,1,5,High
25299,5a85f706b2059c3cd55287e105d8d5ea,154,2,380.6,2,1,3,6,Medium
25372,5ace05247b6926d3e595ac4de6620b1d,213,2,113.98,1,1,1,3,High
25380,5ad31e19d737a51f803e6986bbd119ff,293,2,398.0,1,1,3,5,High
25388,5ad96d7a95788923e8ff455366a90015,317,2,587.0,1,1,3,5,High
25407,5af103d3f12fd83434cb97578a1e8d49,422,2,203.29,1,1,2,4,High
25414,5af895ee7ff98368a5bf6faeddd18cec,61,2,274.5,3,1,3,7,Medium
25430,5b07d855f3356e33b1434dfb5a035cd7,246,2,279.8,1,1,3,5,High
25431,5b09c620db60411b0be6f1817c6cbe71,100,3,220.09,2,3,2,7,Medium
25453,5b1ae94194ff6e974356063557746e47,345,2,133.5,1,1,2,4,High
25464,5b26618da34612cc4947bbf6ef4fb67c,72,2,228.0,3,1,2,6,Medium
25471,5b2c2b2a8d9e890debe309928d321f20,308,2,149.8,1,1,2,4,High
25477,5b3186d7cf904f2f9369aec26faba4d2,157,3,368.8,2,3,3,8,Low
25496,5b40b6d003822b8ff229a910784fe4e5,56,2,128.0,3,1,1,5,High
25515,5b52858bcdab75cfc4593b13ea32db62,283,2,76.0,1,1,1,3,High
25538,5b65c2693d8103d23aa910cd33d68daa,181,2,378.34999999999997,2,1,3,6,Medium
25546,5b71ca52f13f79c2be72b2aad8755c0a,269,2,181.98,1,1,2,4,High
25574,5b881f1b0bea55f5933b61c9a99c9ecc,75,2,211.9,3,1,2,6,Medium
25578,5b8a75e77489899ad9e6d57273aafd7f,286,2,388.0,1,1,3,5,High
25619,5bad02ee81a2002eb3b5b84d32bfc15f,67,2,244.0,3,2,2,7,Medium
25654,5bc94b60050224af3dfdd2377c7e93e6,454,2,193.73000000000002,1,2,2,5,High
25675,5bdb6f56a8fb4272b802f504bb6d1287,83,3,661.9200000000001,3,3,3,9,Low
25729,5c117c579cb98a9c6c50e1301a349f3a,332,2,119.98,1,2,1,4,High
25787,5c4b7aa014e584d78525c38717510f01,355,2,382.8,1,2,3,6,Medium
25806,5c5a99e5ef172fbf5fc8a68e6bb2e0ab,70,2,245.8,3,2,2,7,Medium
25816,5c65a2076c901f375b01aad3a60c7447,70,2,223.9,3,2,2,7,Medium
25842,5c82413b70d65c90e4f9e465c303fc82,426,2,146.39999999999998,1,2,2,5,High
25851,5c8b41ba21631ca0432de4a10a56fcf1,385,2,232.0,1,2,2,5,High
25864,5c96017028584678dd28c139566b87c0,16,2,109.8,3,2,1,6,Medium
25904,5cb8c9998e51269d6c8c983def687414,131,2,238.9,2,2,2,6,Medium
25914,5cbfdb85ec130898108b32c50d619c39,47,2,227.8,3,2,2,7,Medium
25917,5cc1eb5a94ab59494d63f06a5c7eec15,57,2,299.7,3,2,3,8,Low
25973,5cfc9643603c095fd7ed86a50fa17887,152,2,162.23,2,2,2,6,Medium
26029,5d2dfd15300a557c1ddfad56a8460226,45,2,755.89,3,2,3,8,Low
26113,5d77cf4bfc8132075fc589f355875baa,86,2,164.39,3,2,2,7,Medium
26120,5d7ebc17bf6d80838b3b42da27e0a5f7,16,2,64.99,3,2,1,6,Medium
26144,5d8f5f50fd2c7fbe8b335d945105a37f,21,2,509.70000000000005,3,2,3,8,Low
26146,5d923ccb7548741c453df5a825da2515,18,2,54.98,3,2,1,6,Medium
26190,5dbba6c01268a8ad43f79157bf4454a0,72,2,359.18,3,2,3,8,Low
26212,5dcc06236098340b984e6865ba850593,398,2,62.5,1,2,1,4,High
26229,5dda09ed137461608be539348c1dac39,79,2,142.8,3,2,2,7,Medium
26278,5e0aa142dc4760e62a74c1830cbf91b1,74,2,399.79999999999995,3,2,3,8,Low
26304,5e24610c5a55f0b6ffdaf9e846d02362,257,2,192.8,1,2,2,5,High
26327,5e3e9e897d07a80fc2af58088a84812a,178,2,64.4,2,2,1,5,High
26340,5e492797fbeb54fb3e96629a55cdd480,328,2,118.0,1,2,1,4,High
26408,5e85d75d3e3df197f08b89a2cbaad54b,416,2,159.8,1,2,2,5,High
26415,5e8f38a9a1c023f3db718edcf926a2db,55,5,994.8,3,3,3,9,Low
26457,5ebd246be48ec18bf3859966284333f8,87,2,174.04000000000002,3,2,2,7,Medium
26473,5ec4c90f549177a8cbbbc7419353e66a,270,2,298.9,1,2,3,6,Medium
26487,5ed4db82a99daa916b5a11e6c48df670,411,2,257.89,1,2,3,6,Medium
26500,5edb5e94dde197f8fd914eec2975b891,341,2,33.8,1,2,1,4,High
26508,5ee1a7e84a17bcddc784977557a7a186,208,2,158.7,2,2,2,6,Medium
26542,5efcc46e1fee22373a28eb2b0f26a6fc,349,2,117.80000000000001,1,2,1,4,High
26584,5f2a213343d506264f78cb82dd914434,326,2,394.9,1,2,3,6,Medium
26616,5f435bbe57e905e19378fa56b60e9d16,116,2,119.69999999999999,2,2,1,5,High
26619,5f45aa4ef9b8fb99b95d33a970bb64a7,224,2,93.69999999999999,1,2,1,4,High
26657,5f66ee1b2e030748fdb83ab9b01a7064,222,2,204.69,1,2,2,5,High
26695,5f7f2f316d856064acee6f1db7c9f63f,246,2,220.0,1,2,2,5,High
26698,5f80e1b868be57e4d50ae6bbeae78d77,62,2,237.89000000000001,3,2,2,7,Medium
26751,5fb5bf48cd408d971f873069e5178898,188,2,209.99,2,2,2,6,Medium
26787,5fd82666f1e64606820d24e3fbb5d160,171,2,150.0,2,2,2,6,Medium
26809,5ff735d120cf4ec4adefd9766f703bf5,34,2,322.8,3,2,3,8,Low
26813,5ffbc70da7ad1808b6899421caa84fbe,364,2,27.96,1,2,1,4,High
26844,601bf929b8d0a8feecab068a2110ae1f,134,2,118.9,2,2,1,5,High
26922,606441378b517f9eeb89f9154a1c4d4f,324,2,173.89,1,2,2,5,High
26963,608646d3514cc48a27d666e313cfe0cc,290,2,434.0,1,2,3,6,Medium
26986,609adc68db390a15fd21648c496f50b7,414,2,179.8,1,2,2,5,High
26988,609b7feab0f0c9726929ec4891447b02,122,2,149.89,2,2,2,6,Medium
27001,60a22f2188cd2b544c45f103d0e00539,228,2,1699.8000000000002,1,2,3,6,Medium
27070,60e6fe581610db699ac03fec61f4d53f,83,2,264.0,3,2,3,8,Low
27087,60f874c577dc096ecd52bd0bf6bd5942,13,2,107.97999999999999,3,2,1,6,Medium
27122,61181b9bc9188678b5991d89064dd961,201,2,139.9,2,2,2,6,Medium
27194,615922c430abddd368735199c38e735d,197,3,312.7,2,3,3,8,Low
27253,6197167907273be5ee2c7ab59d4ec8e1,93,2,345.49,2,2,3,7,Medium
27287,61b6a01709e3d754942803765b85eea6,256,2,217.8,1,2,2,5,High
27367,6204c4e582a95b6a350adf6988623bfb,58,3,269.86,3,3,3,9,Low
27397,6222ef69df52b4ed71be551725551cc0,480,3,30.700000000000003,1,3,1,5,High
27400,6223bdc5aab952ee49dea3511f89e7ec,117,2,324.0,2,2,3,7,Medium
27421,623674d39fd0350df92b1f91c469ba39,81,2,154.0,3,2,2,7,Medium
27517,6292600f71fe592f716a3e542f184d18,263,2,79.2,1,2,1,4,High
27526,62a25a159f9fd2ab7c882d9407f49aa9,144,2,364.9,2,2,3,7,Medium
27610,630331e73a79ae9a2ba821bd326ea298,299,2,157.54999999999998,1,2,2,5,High
27625,6316cfb9fc33f7962f7459a3bc144a89,29,2,169.78,3,2,2,7,Medium
27638,6321cbc5ca73fae88f1acccaa086ecdf,55,2,303.05,3,2,3,8,Low
27663,63387fd3e05eab4e51cf704f233db5a2,97,2,163.49,2,2,2,6,Medium
27676,6345e3b3ba5ee47685e29ec5febc8155,9,2,446.79999999999995,3,2,3,8,Low
27695,6358b15ef7fa9b1210f1a5735cabd3d9,59,2,99.80000000000001,3,2,1,6,Medium
27711,63669b3731dcc014feec668c3d888aa0,71,2,190.69,3,2,2,7,Medium
27719,636f22218f8430a8463c5ddc5f68fc62,295,2,179.89000000000001,1,2,2,5,High
27815,63b4253e688c57bdaa18741b3fea5a01,50,2,109.78999999999999,3,2,1,6,Medium
27834,63cfc61cee11cbe306bff5857d00bfe4,86,5,499.90999999999997,3,3,3,9,Low
27850,63df651d5e8adb6a0e4baeb66a0eea37,241,2,297.49,1,2,3,6,Medium
27904,640e0d867e85601bd8e64029df6034b5,145,2,79.0,2,2,1,5,High
27914,641584b3ec3027aaf8fa9c088f1a1a00,176,2,32.38,2,2,1,5,High
27918,6419a1be8feac26ec793667b71cbaeb4,125,3,709.6,2,3,3,8,Low
27936,6428403ac3b03984c38fd083fa1647b0,18,2,115.9,3,2,1,6,Medium
27980,6457b2cb5462c1217e8e6d36b0ff39d2,163,2,116.30000000000001,2,2,1,5,High
27999,6469f99c1f9dfae7733b25662e7f1782,104,6,639.3000000000001,2,3,3,8,Low
28069,64a5301ff6bdaf1baa00058672402d7a,269,2,129.8,1,2,2,5,High
28127,64df076fb557552498049bb07ed1cd5f,5,2,269.95,3,2,3,8,Low
28128,64e037f54b4ff31461175bcc8bd210f4,103,2,109.89000000000001,2,2,1,5,High
28137,64e9a736591627c469dae6f3d1592a61,326,2,547.51,1,2,3,6,Medium
28167,64fbafb2935c7a2588d6a26a9d750487,458,2,638.64,1,2,3,6,Medium
28293,65663adf8c7a498b79e57ff84ab2b654,157,2,170.74,2,2,2,6,Medium
28306,6576977872dd65f5b680e944afe3a724,234,2,119.89,1,2,1,4,High
28323,657dec397f46d84dbe64df2b0389b3cc,131,2,161.55,2,2,2,6,Medium
28345,6594a65023bcb47539aa91b0f8e98e00,53,2,209.98000000000002,3,2,2,7,Medium
28368,65a6ec5d6e6e86bc43a2cbf235be4675,1,2,173.8,3,2,2,7,Medium
28372,65ab3020e6a929e4e9a4b61e643da832,288,2,120.9,1,2,1,4,High
28419,65d6b6a1113bd6152e3307e99c5104c9,62,2,308.0,3,2,3,8,Low
28421,65d7c0904b51f5b432e71a14b25121dc,173,2,82.98,2,2,1,5,High
28431,65e2735427dedd6a787e5b065b3cc41e,160,2,122.97999999999999,2,2,1,5,High
28516,662d88cbd178177a50141111d3a6932c,90,2,56.4,3,2,1,6,Medium
28551,664fe7916cb8709c6b848383c6361dcc,187,2,378.9,2,2,3,7,Medium
28567,665f8bbe2cf428657aeb0572c27fef58,105,2,499.73,2,2,3,7,Medium
28579,6668e1ae499e2e9be475b7f708580232,323,3,196.79000000000002,1,3,2,6,Medium
28612,668ddbdd3ee99d4339eadfef21531d45,275,2,155.99,1,2,2,5,High
28625,66980c3775537536f77b434d74e520f5,30,3,120.0,3,3,1,7,Medium
28711,66e56177b9bf464a930e57edc3694403,24,2,186.89,3,2,2,7,Medium
28733,66f4eec9da64df09009a7f397c2a32b1,96,2,865.79,2,2,3,7,Medium
28753,66ffab11964dda54f46a826323635120,100,2,778.89,2,2,3,7,Medium
28792,672452f682b6cd65d8256f3e527bb93f,255,2,163.6,1,2,2,5,High
28826,67466b5877fad6f2279c1fb634c9aa5c,233,3,589.7,1,3,3,7,Medium
28846,67626c49069bdf05ff127d59a6649948,142,2,55.98,2,2,1,5,High
28978,67e747b902c2d5c2e5a266b00d965145,49,2,53.3,3,2,1,6,Medium
28998,67fcfe4915b93624867d350b8191ff7b,309,2,54.980000000000004,1,2,1,4,High
29022,681405a99faf3ac8afc2dc018a3f67bb,21,2,983.99,3,2,3,8,Low
29024,6814507660c72078cbada9b3660683dd,277,2,70.1,1,2,1,4,High
29059,6832bd3ca1bf89c9e60bf3c91d846ec9,97,2,178.8,2,2,2,6,Medium
29073,683cda1913456fb0cca302892b37a052,115,2,129.9,2,2,2,6,Medium
29098,68519bc41532d0f1a6613d278f86a5bd,105,2,83.55000000000001,2,2,1,5,High
29106,6856178ce177496369e3a83fd143e621,156,2,105.99000000000001,2,2,1,5,High
29134,686c46ddc0828bf3c0af072c44dd96b7,34,2,67.9,3,2,1,6,Medium
29139,6871b052a835417d6d2e11153e0d3c2c,64,2,319.89,3,2,3,8,Low
29166,688d5274462f91fa0332582b748ce41d,110,2,414.9,2,2,3,7,Medium
29177,6894b2a8a74e1c7fb9452d0cb861e634,134,2,84.3,2,2,1,5,High
29198,68ab9bfe2388b0b36614c7000b8b1cf8,158,2,49.98,2,2,1,5,High
29300,692074726678229d1fe1887a9f0abb14,157,2,259.6,2,2,3,7,Medium
29327,693b3203dcd4cef5288c5fd8d53f0efe,220,2,56.8,1,2,1,4,High
29334,6940e424e41600ef36c79b6d8b4a2ecd,245,2,66.89,1,2,1,4,High
29370,695dee4c200e4cabdfdb01287f5fd29d,59,2,225.98000000000002,3,2,2,7,Medium
29393,69768afd389429f6ec48199e5fb8e61a,23,2,250.9,3,2,2,7,Medium
29407,698118425f0afbd4bee557e51b6bd49b,29,2,264.94,3,2,3,8,Low
29419,698a9cafcc15cac8cdbaee64adc6efbe,91,2,178.79,2,2,2,6,Medium
29428,699003f10173022740145aa4aaeaccd5,156,2,468.9,2,2,3,7,Medium
29466,69aab61687fa416ef601af332bd0ff0d,109,2,109.9,2,2,1,5,High
29518,69e333213f390c27d001d415de206697,203,2,78.89,2,2,1,5,High
29521,69e4074cb5368c1539397e4ea570757a,78,2,159.8,3,2,2,7,Medium
29540,69f2934ad8b50cc05587a94cc7d68fc9,56,3,284.79,3,3,3,9,Low
29599,6a2ae83cded378a462e86a2e4885e750,56,2,199.84,3,2,2,7,Medium
29600,6a2c39f27e5c40a4d2a0cd94aeb8c925,94,2,154.8,2,2,2,6,Medium
29611,6a3a03f3c7afeb25ce61700d914a841a,74,2,100.0,3,2,1,6,Medium
29620,6a41171c962a6356e8ea95518821dd45,73,2,106.0,3,2,1,6,Medium
29635,6a56e8e6c20175d122a962a5e5dfcf5e,238,2,229.89,1,2,2,5,High
29642,6a5b2a807a2aca962c4badc649cb40b2,447,2,119.98,1,2,1,4,High
29659,6a64e2cf94a5779760698c1e25a2852a,216,2,93.98,1,2,1,4,High
29690,6a7e7be8e652da4e4777866459f9b007,78,2,129.89000000000001,3,2,2,7,Medium
29694,6a80a86f478a93a5f4c7ba8db6441a6b,278,3,274.39,1,3,3,7,Medium
29727,6aa14366984bcc5f1ea760928283d451,91,2,304.9,2,2,3,7,Medium
29730,6aa2294d9975e319365a586ba919de73,57,2,154.9,3,2,2,7,Medium
29753,6abc999251612920bec93b3be616fa1d,322,2,118.0,1,2,1,4,High
29862,6b1b676621a55a12546f8eeeaa12d4a7,178,2,276.0,2,2,3,7,Medium
30066,6bb535b0906b43e0041916897667aeed,225,3,960.48,1,3,3,7,Medium
30078,6bbed249de21777c6f7d5074e6c469e9,14,2,39.94,3,2,1,6,Medium
30088,6bd33258105ef24dbf6d82bb7e3a06b2,55,2,104.80000000000001,3,2,1,6,Medium
30110,6be28ae15cd1e7b3f3f36ac483512822,157,2,426.69000000000005,2,2,3,7,Medium
30189,6c2f6983a60ac0dc8a9ee65579959538,195,2,226.9,2,2,2,6,Medium
30203,6c45a9350eb05fba53a297c2491a32c5,359,2,119.8,1,2,1,4,High
30239,6c70bee45f245a4ebeddb2ece21b567d,301,2,542.0,1,2,3,6,Medium
30241,6c722fdc0ca8a586dcfa980f2f1278eb,241,2,189.47000000000003,1,2,2,5,High
30295,6cad2595071b142d5f90563f43558cc9,148,2,719.7,2,2,3,7,Medium
30299,6caedf47165dd303190404ba0d47e802,13,2,117.9,3,2,1,6,Medium
30372,6cf5a61d865d979d060812cdb48ce484,32,2,284.0,3,2,3,8,Low
30454,6d3d5771a12f5e7d00729f940bb28fd2,278,2,195.6,1,2,2,5,High
30461,6d443b75cff956bb73dce7385033e266,237,2,350.9,1,2,3,6,Medium
30512,6d74740d498504341df1e7f104daebf0,105,2,158.89000000000001,2,2,2,6,Medium
30560,6d97028799b1d0a91160e11d45cfeb7b,337,2,103.96000000000001,1,2,1,4,High
30562,6d983c87bdeb0ca15734c8bdaa79a2ea,164,2,287.8,2,2,3,7,Medium
30643,6ddbc64bd04d40f7768ff088d94cbeb8,21,2,2108.0,3,2,3,8,Low
30693,6e0d94e83bae00a64c12c9497158ee1c,218,2,50.2,1,2,1,4,High
30703,6e14116d3471123fcf057c203fd7e801,58,2,165.0,3,2,2,7,Medium
30705,6e1512c1c3221bd24fa4848202727ab3,141,2,159.89,2,2,2,6,Medium
30707,6e1550b8966f327f29bc06b18972dbec,335,2,939.87,1,2,3,6,Medium
30721,6e26bbeaa107ec34112c64e1ee31c0f5,118,2,1355.9,2,2,3,7,Medium
30734,6e2f539e9e0e323859a81079581db712,27,2,29.79,3,2,1,6,Medium
30781,6e620488162fe1129d32f26b751d770a,67,2,149.7,3,2,2,7,Medium
30785,6e64dc929d62442c813375d68c4e0c2e,64,2,225.0,3,2,2,7,Medium
30798,6e6fdec52c6dbf58721bf7a4eaf5b679,191,2,82.98,2,2,1,5,High
30839,6e968652933d10e7a77047574d87e54a,323,2,88.82,1,2,1,4,High
30867,6eb453dca2505def092eb261e3a3d8d0,32,2,115.8,3,2,1,6,Medium
30888,6ecae395621d20aca9711709fedacade,63,2,153.9,3,2,2,7,Medium
30910,6ee2f345f4f2fbd1cafb6447a6b37642,326,2,349.9,1,2,3,6,Medium
30928,6eefa309faab7725bf4b9dce147e4ae6,116,3,48.8,2,3,1,6,Medium
30934,6ef4101366e4340921398ba91fff1426,63,2,108.9,3,2,1,6,Medium
30988,6f22857001b77949eb8110295fced3ff,161,2,91.8,2,2,1,5,High
31002,6f302f15a62c56b3100b67a81bfef328,133,2,629.1999999999999,2,2,3,7,Medium
31010,6f36e0165218ac7ae521d8e44739e703,94,2,228.7,2,2,2,6,Medium
